cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
C_preset_shared,5019,0.8270517540337139,271.0,0.0,0.677882649411533,,9.0,11.0,4.170625166818462,0.4707666929670656,1.0,1.3620739699298154,31.0,30.0,9.0,11.0,0.0,1.0,1.0
C_preset_shared,5020,0.7498800203432723,37.666666666666664,1.3284132841328413,0.4591261705178881,19.0,70.0,6.0,3.943128659641022,0.38712031660501856,0.42435424354243545,1.763815779387849,23.0,19.0,70.0,6.0,1.0,1.0,1.0
C_preset_shared,5021,0.792536325112036,118.0,0.6642066420664207,0.5851694558289086,47.0,2.0,20.0,3.934519520083585,0.4114419443214855,0.8081180811808119,1.6609849070247253,72.0,47.0,2.0,20.0,1.0,1.0,1.0
C_preset_shared,5022,0.7244597084942147,22.5,1.7712177121771218,0.4885557965615582,44.0,31.0,7.0,3.855108118343986,0.35906394129353586,0.3874538745387454,1.6388323796521262,28.0,44.0,31.0,7.0,1.0,1.0,1.0
C_preset_shared,5023,0.858299140917593,271.0,0.0,0.7073779366014474,16.0,41.0,34.0,4.038009186656237,0.43518245100829817,0.977859778597786,1.4929780272899074,29.0,16.0,41.0,34.0,1.0,1.0,1.0
C_preset_shared,5024,0.7984485570337765,271.0,0.0,0.6737937124203653,,22.0,28.0,4.118794543946378,0.48584940370076546,1.0,1.9962684799647996,22.0,30.0,22.0,28.0,0.0,1.0,1.0
C_preset_shared,5025,0.815042789822368,271.0,0.0,0.703787958398475,,6.0,37.0,4.0137110761174934,0.517662613358728,1.0,1.6035314562904999,90.0,30.0,6.0,37.0,0.0,1.0,1.0
C_preset_shared,5026,0.6789393998365076,19.8,1.992619926199262,0.4696274163408798,36.0,10.0,14.0,4.071743874433141,0.3952536885023412,0.3985239852398524,1.6610096587376466,36.0,36.0,10.0,14.0,1.0,1.0,1.0
C_preset_shared,5027,0.6950706940868583,24.333333333333332,1.3284132841328413,0.3713331513239941,18.0,11.0,3.0,4.107037663720714,0.5030604668319986,0.26199261992619927,1.5166540421429409,75.0,18.0,11.0,3.0,1.0,1.0,1.0
C_preset_shared,5028,0.8175703347863019,271.0,0.0,0.6825510647066803,224.0,18.0,,3.9097878491998594,0.4943467024056027,0.966789667896679,1.5682797534373614,154.0,224.0,18.0,30.0,1.0,1.0,0.0
C_preset_shared,5029,0.77604985777315,76.66666666666667,0.8856088560885609,0.6012791548109939,71.0,,16.0,4.190110703064196,0.48467028507370985,0.8118081180811808,2.1220847980579505,75.0,71.0,30.0,16.0,1.0,0.0,1.0
D_emergent_shared,5000,0.973202728150552,271.0,0.0,0.9577106062218624,,,,3.7368198323268778,0.7670416303451492,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
D_emergent_shared,5001,0.9689908128673916,271.0,0.0,0.9573968193412431,,,,3.534692444296391,0.8069208941827959,1.0,,,30.0,30.0,30.0,0.0,0.0,0.0
